Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
english word hindi shayari,3,3,390,14,0.00,https://englishshyari.com/hindi-shayari-in-english/,27,0.5,0.00,0.02,113,"6, 12, 44, 82, 82, 82, 100, 100, 82, 100, 3, 1",2026-07-19,"Image pack, Sitelinks, Reviews, Video, Video Carousel, Related searches",informational,Organic
status with emoji in english,8,8,880,10,0.00,https://englishshyari.com/,26,0.48,0.00,0.33,95,"1, 6, 20, 45, 100, 55, 62, 62, 55, 62, 62, 81",2026-07-15,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
shayari hindi and english,1,1,1000,6,0.00,https://englishshyari.com/,26,0.48,0.00,0,116,"100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 88, 100",2026-06-28,"Image pack, Sitelinks, Reviews, Video, Related searches, AI overview",informational,AI overview
hindi shayari in english new,10,10,1900,8,0.00,https://englishshyari.com/,24,0.44,0.00,0,117,"1, 6, 30, 43, 55, 55, 66, 82, 82, 100, 0, 0",2026-06-30,"Sitelinks, Video, Related searches, AI overview",informational,Organic
hindi shayari english mein,4,4,480,10,0.00,https://englishshyari.com/hindi-shayari-in-english/,24,0.44,0.00,0.33,128,"54, 67, 82, 82, 100, 100, 100, 82, 100, 29, 29, 29",2026-07-30,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
hindi shayari writing english,9,9,880,18,0.00,https://englishshyari.com/,22,0.4,0.00,0.33,131,"4, 11, 31, 53, 53, 53, 68, 68, 84, 100, 1, 1",2026-07-01,"Image pack, Sitelinks, Video, Related searches",informational,Organic
adult shayari english,29,29,14800,5,0.00,https://englishshyari.com/,22,0.4,0.00,0.33,95,"9, 45, 67, 82, 82, 100, 100, 100, 100, 0, 0, 0",2026-08-13,"Sitelinks, Video, Related searches",informational,Organic
hindi shayari english writing photo,10,10,720,25,0.00,https://englishshyari.com/,21,0.39,0.00,0,149,"5, 14, 17, 46, 38, 100, 100, 68, 84, 1, 0, 0",2026-08-16,"Sitelinks, Video, Related searches",informational,Organic
small shayari in english,4,4,480,17,0.00,https://englishshyari.com/,19,0.35,0.00,0.33,106,"81, 81, 66, 66, 66, 100, 100, 81, 100, 81, 54, 44",2026-07-30,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
english shayari png,5,5,390,27,0.00,https://englishshyari.com/,19,0.35,0.00,0.33,114,"4, 15, 29, 29, 29, 36, 54, 67, 67, 82, 100, 100",2026-07-29,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
matlabi dost shayari in english,3,3,260,10,0.00,https://englishshyari.com/friendship-shayari-in-english/,18,0.33,0.00,0.33,107,"100, 81, 67, 44, 44, 54, 54, 35, 35, 35, 23, 19",2026-07-25,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
shayari in hindi english words,1,1,1900,3,0.00,https://englishshyari.com/hindi-shayari-in-english/,17,0.31,0.00,0.33,121,"11, 17, 55, 83, 83, 83, 100, 100, 100, 100, 34, 34",2026-07-13,"Image pack, Sitelinks, Reviews, Video, Image, Related searches, AI overview",informational,AI overview
2 line shayari english,8,8,590,5,0.00,https://englishshyari.com/,17,0.31,0.00,0.33,85,"67, 82, 82, 67, 82, 100, 82, 67, 82, 67, 67, 67",2026-08-10,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
shayari pic in english,8,8,590,7,0.00,https://englishshyari.com/,17,0.31,0.00,0.33,116,"7, 9, 32, 72, 48, 48, 48, 59, 59, 72, 100, 100",2026-06-30,"Video, People also ask, Related searches, AI overview",informational,Organic
2 line attitude shayari in english,11,11,2400,10,0.00,https://englishshyari.com/,16,0.29,0.00,0.33,101,"6, 6, 7, 16, 36, 66, 55, 100, 66, 100, 66, 82",2026-07-04,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
shayari in hindi english,9,9,1300,6,0.40,https://englishshyari.com/,16,0.29,6.00,0.33,131,"100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100",2026-06-21,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
english shayari image,8,8,480,26,0.00,https://englishshyari.com/,14,0.26,0.00,0,133,"100, 100, 81, 81, 100, 81, 66, 66, 81, 100, 66, 66",2026-07-09,"Image pack, Video, Related searches","informational, navigational",Organic
adult shayari in english,23,24,9900,4,0.00,https://englishshyari.com/,14,0.26,0.00,0.33,89,"3, 9, 16, 16, 20, 20, 24, 24, 30, 82, 100, 100",2026-08-20,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
sad shayari english mein,10,10,1600,9,0.00,https://englishshyari.com/,14,0.26,0.00,0.33,90,"84, 84, 84, 84, 84, 100, 100, 84, 84, 84, 84, 84",2026-08-09,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
hindi or english shayari,1,1,210,5,0.00,https://englishshyari.com/,13,0.24,0.00,0.33,136,"4, 23, 54, 44, 67, 67, 81, 100, 100, 2, 2, 2",2026-08-11,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,AI overview
simple shayari in english,4,4,260,8,0.00,https://englishshyari.com/,13,0.24,0.00,0.33,96,"100, 100, 81, 100, 81, 81, 100, 81, 66, 81, 66, 66",2026-07-06,"Image pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",informational,Organic
small hindi shayari in english,1,1,170,,0.00,https://englishshyari.com/,11,0.2,0.00,0.33,125,"2, 8, 19, 23, 15, 15, 23, 23, 35, 81, 100, 100",2026-08-10,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,AI overview
english me shayari,2,0,8100,33,0.26,https://englishshyari.com/,11,0.2,2.00,0,118,"55, 67, 55, 67, 55, 67, 82, 82, 82, 82, 100, 100",2026-08-20,"Image pack, Video, People also ask, Related searches, AI overview",informational,AI overview
fb status hindi english,11,11,880,14,0.00,https://englishshyari.com/,11,0.2,0.00,0.33,109,"6, 14, 25, 21, 25, 25, 31, 31, 46, 100, 100, 100",2026-07-27,"Sitelinks, Reviews, Image, Related searches","informational, transactional",Organic
shayari shayari english,3,3,170,25,0.00,https://englishshyari.com/,11,0.2,0.00,0,118,"100, 100, 100, 100, 100, 100, 82, 100, 82, 82, 100, 100",2026-08-09,"Image pack, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
shayari english hindi,9,9,1600,4,0.32,https://englishshyari.com/,11,0.2,3.00,0,129,"84, 68, 68, 68, 68, 68, 68, 68, 84, 84, 100, 100",2026-07-25,"Image pack, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
hindi or english shayari,5,5,210,5,0.00,https://englishshyari.com/,10,0.18,0.00,0.33,136,"4, 23, 54, 44, 67, 67, 81, 100, 100, 2, 2, 2",2026-08-11,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
matlab ki dosti in english,5,5,260,23,0.00,https://englishshyari.com/friendship-shayari-in-english/,10,0.18,0.00,0.33,99,"4, 8, 44, 81, 81, 81, 100, 100, 81, 67, 4, 2",2026-07-08,"Video, People also ask, Related searches, AI overview",informational,Organic
shayari in hindi translation in english,9,9,390,9,0.00,https://englishshyari.com/hindi-shayari-in-english/,9,0.16,0.00,0.33,116,"14, 17, 32, 32, 32, 32, 39, 39, 32, 39, 88, 100",2026-07-10,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
hindi shayari english writing photo,11,11,720,25,0.00,https://englishshyari.com/,9,0.16,0.00,0,149,"5, 14, 17, 46, 38, 100, 100, 68, 84, 1, 0, 0",2026-08-16,"Sitelinks, Video, Related searches",informational,Organic
shayar in english,9,9,720,32,0.00,https://englishshyari.com/,9,0.16,0.00,0,127,"59, 59, 59, 72, 72, 72, 59, 88, 100, 100, 88, 72",2026-08-07,"Instant answer, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
best shayari in english,12,12,1900,23,0.40,https://englishshyari.com/,9,0.16,3.00,0.33,117,"79, 79, 79, 79, 79, 79, 100, 79, 100, 100, 100, 79",2026-07-31,"Image pack, Video, People also ask, Related searches, AI overview",commercial,Organic
shayari in hindi english,10,10,1300,6,0.40,https://englishshyari.com/,9,0.16,3.00,0.33,131,"100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100",2026-06-21,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
hindi shayari english version,7,7,320,15,0.00,https://englishshyari.com/,9,0.16,0.00,0.33,65,"1, 3, 17, 26, 26, 26, 72, 100, 48, 59, 1, 1",2026-07-07,"Sitelinks, Reviews, Video, Related searches",commercial,Organic
instagram shayari english,7,7,320,9,0.00,https://englishshyari.com/,9,0.16,0.00,0.33,103,"100, 82, 82, 82, 67, 100, 100, 82, 100, 82, 100, 82",2026-08-09,"Image pack, Sitelinks, Video, Related searches",informational,Organic
hindi shayari english spelling,6,6,210,3,0.00,https://englishshyari.com/hindi-shayari-in-english/,8,0.14,0.00,0.33,109,"3, 15, 29, 24, 36, 36, 100, 100, 100, 2, 2, 2",2026-07-19,"Image pack, Sitelinks, Video, Related searches",informational,Organic
small hindi shayari in english,4,4,170,,0.00,https://englishshyari.com/,8,0.14,0.00,0.33,125,"2, 8, 19, 23, 15, 15, 23, 23, 35, 81, 100, 100",2026-08-10,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
sad images boy shayari in english,5,5,170,10,0.00,https://englishshyari.com/,8,0.14,0.00,0,117,"54, 54, 35, 54, 54, 42, 65, 81, 81, 100, 54, 81",2026-08-01,"Sitelinks, Video, Related searches, AI overview",informational,Organic
english me shayari attitude,8,8,320,8,0.00,https://englishshyari.com/,8,0.14,0.00,0.33,110,"100, 67, 67, 81, 54, 81, 81, 54, 54, 54, 67, 81",2026-08-05,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
shayari english mein,12,12,2900,14,0.00,https://englishshyari.com/,8,0.14,0.00,0.33,110,"67, 67, 67, 81, 81, 81, 67, 67, 81, 100, 81, 81",2026-07-31,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
short shayari english,6,6,210,9,0.00,https://englishshyari.com/,8,0.14,0.00,0.33,106,"100, 100, 66, 44, 66, 100, 100, 66, 66, 53, 53, 53",2026-08-03,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
shero shayari hindi english,13,13,1600,5,0.00,https://englishshyari.com/,8,0.14,0.00,0.33,68,"1, 9, 28, 67, 67, 67, 81, 81, 81, 100, 0, 1",2026-06-30,"Image pack, Sitelinks, Video, Related searches",informational,Organic
instagram shayari in english,7,7,260,10,0.00,https://englishshyari.com/,7,0.13,0.00,0.33,121,"81, 81, 81, 53, 81, 81, 100, 81, 81, 66, 66, 66",2026-08-10,"Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic
status with emoji in english,10,10,880,10,0.00,https://englishshyari.com/,7,0.13,0.00,0.33,95,"1, 6, 20, 45, 100, 55, 62, 62, 55, 62, 62, 81",2026-07-15,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
english shayari status,9,9,260,16,0.00,https://englishshyari.com/,7,0.13,0.00,0.33,110,"100, 100, 66, 66, 66, 81, 81, 53, 66, 66, 81, 100",2026-08-15,"Sitelinks, Video, People also ask, Related searches",informational,Organic
hindi shayari english translation,9,9,260,3,0.00,https://englishshyari.com/hindi-shayari-in-english/,7,0.13,0.00,0.33,102,"19, 24, 44, 54, 54, 44, 54, 54, 100, 66, 24, 36",2026-07-07,"Sitelinks, Video, Related searches, AI overview",informational,Organic
hindi sad shayari in english font,9,9,260,23,0.00,https://englishshyari.com/,7,0.13,0.00,0.33,36,"4, 12, 24, 29, 24, 19, 24, 24, 36, 82, 82, 100",2026-07-20,"Sitelinks, People also ask, Related searches",commercial,Organic
sher o shayari in english on love,12,12,1300,14,0.00,https://englishshyari.com/,6,0.11,0.00,0.33,117,"6, 13, 20, 30, 25, 30, 30, 34, 45, 100, 83, 83",2026-08-18,"Video, People also ask, Related searches, AI overview",commercial,Organic
badla shayari in english,12,12,1300,29,0.00,https://englishshyari.com/,6,0.11,0.00,0.33,102,"2, 9, 34, 55, 66, 55, 83, 83, 66, 100, 1, 1",2026-06-29,"Image pack, People also ask, Related searches, AI overview",informational,Organic
attitude shayari in english hindi,8,8,720,18,0.00,https://englishshyari.com/,6,0.11,0.00,0.33,112,"100, 88, 88, 100, 88, 88, 72, 48, 48, 39, 32, 32",2026-07-29,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Organic
image shayari english,9,9,720,29,0.00,https://englishshyari.com/,6,0.11,0.00,0.33,133,"1, 2, 6, 13, 11, 9, 17, 13, 13, 30, 100, 83",2026-07-11,"Image pack, Video, People also ask, Related searches, AI overview","informational, navigational",Organic
hindi shayari english typing,7,7,210,7,0.00,https://englishshyari.com/hindi-shayari-in-english/,6,0.11,0.00,0.33,117,"44, 54, 67, 67, 54, 82, 82, 67, 100, 23, 28, 36",2026-08-16,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
poetry shayari in english,7,14,210,27,0.00,https://englishshyari.com/,6,0.11,0.00,0.33,113,"100, 81, 67, 44, 23, 29, 19, 29, 29, 23, 15, 19",2026-08-19,"Image pack, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
love shayari with emoji english,6,6,140,0,0.00,https://englishshyari.com/,5,0.09,0.00,0.33,103,"15, 27, 35, 54, 54, 54, 42, 65, 54, 100, 100, 100",2026-07-25,"Image pack, Sitelinks, Video, Image, Related searches, AI overview","commercial, informational",Organic
best shayari in english,3,3,1900,23,0.40,https://englishshyari.com/,5,0.09,2.00,0.33,117,"79, 79, 79, 79, 79, 79, 100, 79, 100, 100, 100, 79",2026-07-31,"Image pack, Video, People also ask, Related searches, AI overview",commercial,AI overview
online shayari english,13,13,1000,13,0.00,https://englishshyari.com/,5,0.09,0.00,0.33,124,"2, 6, 20, 34, 34, 34, 66, 100, 83, 66, 0, 0",2026-07-14,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
shayari in english and hindi,5,5,110,9,0.00,https://englishshyari.com/,5,0.09,0.00,0.33,131,"100, 100, 100, 79, 79, 100, 100, 100, 79, 64, 64, 36",2026-08-10,"Image pack, Sitelinks, Video, Related searches",informational,Organic
what is shayari in english,8,8,170,30,0.00,https://englishshyari.com/,5,0.09,0.00,0.33,113,"52, 67, 81, 100, 67, 67, 81, 81, 81, 81, 67, 67",2026-07-06,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
emotional love shayari in english,8,8,170,14,0.00,https://englishshyari.com/,5,0.09,0.00,0.01,97,"81, 67, 67, 67, 67, 81, 81, 67, 67, 81, 81, 100",2026-08-10,"Image pack, Video, People also ask, Related searches",informational,Organic
english shayari picture,9,9,170,25,0.00,https://englishshyari.com/,5,0.09,0.00,0,130,"100, 81, 67, 67, 67, 81, 52, 81, 67, 52, 81, 100",2026-07-05,"Video, Related searches",informational,Organic
tik tok shayari in english,5,5,140,26,0.00,https://englishshyari.com/,5,0.09,0.00,0,29,"8, 35, 65, 42, 100, 100, 100, 81, 81, 0, 0, 0",2026-07-20,"Video, People also ask, AI overview","informational, navigational",Organic
shayari in roman english attitude,9,9,170,4,0.00,https://englishshyari.com/,5,0.09,0.00,0.33,95,"100, 81, 100, 81, 81, 81, 81, 54, 54, 35, 54, 54",2026-08-09,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
hindi shayari written in english,14,14,1000,3,0.00,https://englishshyari.com/,5,0.09,0.00,0.33,124,"6, 9, 13, 13, 17, 20, 25, 25, 34, 100, 100, 100",2026-08-02,"Image pack, Sitelinks, Video, Related searches",informational,Organic
english shayari com,5,5,110,10,0.00,https://englishshyari.com/,5,0.09,0.00,0.33,99,"14, 43, 67, 100, 81, 100, 100, 81, 100, 5, 5, 5",2026-08-12,"Video, Related searches, AI overview","commercial, informational",Organic
english short shayari,8,8,320,5,0.00,https://englishshyari.com/,4,0.07,0.00,0.33,111,"100, 100, 82, 82, 82, 82, 100, 100, 82, 82, 82, 82",2026-07-06,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
hindi shayari in english letters,28,28,2900,11,0.00,https://englishshyari.com/,4,0.07,0.00,0.33,101,"0, 1, 5, 7, 9, 9, 16, 29, 36, 44, 100, 100",2026-07-10,"Image pack, Sitelinks, Reviews, Video, Related searches",informational,Organic
english word shayari,7,7,140,17,0.00,https://englishshyari.com/,4,0.07,0.00,0.33,55,"82, 100, 82, 82, 82, 100, 65, 82, 82, 65, 65, 82",2026-07-19,"Image pack, Sitelinks, Related searches, AI overview",informational,Organic
normal shayari in english,4,4,110,8,0.00,https://englishshyari.com/,4,0.07,0.00,0.33,96,"41, 53, 53, 82, 65, 65, 65, 53, 53, 53, 82, 100",2026-08-13,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
love attitude shayari in english,5,5,140,13,0.00,https://englishshyari.com/,4,0.07,0.00,0.33,10,"52, 43, 52, 52, 52, 67, 67, 52, 100, 67, 67, 43",2026-07-21,"Image pack, Sitelinks, Related searches, AI overview",informational,Organic
english shayari short,6,6,140,10,0.00,https://englishshyari.com/,4,0.07,0.00,0.33,100,"82, 82, 82, 65, 65, 100, 82, 82, 82, 82, 65, 82",2026-08-05,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
shayari translate in english,16,16,1600,30,0.10,https://englishshyari.com/,4,0.07,0.00,0.33,122,"30, 34, 45, 34, 34, 55, 83, 83, 100, 83, 66, 66",2026-06-28,"Video, People also ask, Related searches, AI overview",informational,Organic
sad shayari images in english,9,0,140,14,0.00,https://englishshyari.com/,4,0.07,0.00,0.33,109,"19, 1, 82, 3, 1, 12, 100, 1, 1, 1, 7, 3",2026-08-19,"Image pack, Video, Image, Related searches",informational,Organic
attitude shayari hindi in english,7,49,140,5,0.00,https://englishshyari.com/,4,0.07,0.00,0.33,124,"100, 100, 82, 82, 82, 82, 100, 65, 82, 82, 82, 82",2026-08-19,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
hindi shero shayari in english,3,3,1600,12,0.00,https://englishshyari.com/,4,0.07,0.00,0.33,118,"1, 9, 28, 67, 67, 67, 81, 81, 81, 100, 0, 1",2026-06-30,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
hasi shayari english,11,11,480,6,0.00,https://englishshyari.com/,4,0.07,0.00,0.33,93,"7, 32, 59, 59, 59, 72, 88, 88, 100, 1, 1, 1",2026-08-03,"Sitelinks, Video, Related searches, AI overview",informational,Organic
hindi shayari english writing,10,10,480,6,0.00,https://englishshyari.com/hindi-shayari-in-english/,4,0.07,0.00,0.33,115,"16, 24, 55, 55, 44, 55, 82, 100, 82, 82, 55, 55",2026-06-26,"Image pack, Sitelinks, Reviews, Video, Related searches",informational,Organic
best hindi shayari in english,8,8,110,8,0.00,https://englishshyari.com/hindi-shayari-in-english/,3,0.05,0.00,0.33,114,"3, 3, 3, 100, 3, 82, 3, 67, 54, 5, 3, 3",2026-06-27,"Image pack, Sitelinks, Reviews, Video, Ads top, Ads bottom, Related searches, AI overview",commercial,Organic
shayari life english,11,11,480,3,0.00,https://englishshyari.com/,3,0.05,0.00,0,98,"100, 82, 82, 67, 67, 67, 44, 54, 36, 54, 44, 36",2026-07-20,"Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Organic
