Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
zakir khan shayari,7,7,5400,16,0.00,https://eknazariya.com/zakir-khan-1,135,0.24,0.00,0.33,145,"36, 67, 67, 44, 55, 55, 55, 44, 100, 55, 29, 24",2026-07-31,"Image pack, Reviews, Video, Video Carousel, Related searches",informational,Organic
famous shayari,8,8,4400,25,0.40,https://eknazariya.com/,132,0.23,52.00,0.33,151,"82, 82, 82, 82, 82, 100, 100, 82, 82, 20, 20, 20",2026-08-11,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
hindi sher,7,7,4400,42,0.00,https://eknazariya.com/,132,0.23,0.00,0,147,"100, 81, 81, 81, 81, 81, 81, 67, 67, 67, 81, 54",2026-07-18,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
2 line ishq shayari,2,2,1000,17,0.00,https://eknazariya.com/ishq-shayari,130,0.23,0.00,0.33,109,"100, 68, 68, 46, 38, 53, 46, 38, 38, 31, 31, 38",2026-08-17,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
hashtag shayari,1,1,260,18,0.00,https://eknazariya.com/hashtags-%23shayri,122,0.21,0.00,0.33,140,"100, 100, 81, 100, 81, 100, 100, 66, 81, 53, 34, 34",2026-08-10,"Image pack, Reviews, Video, Image, Video Carousel, People also ask, Related searches, AI overview",navigational,Organic
hashtags for shayari,1,1,260,14,0.00,https://eknazariya.com/hashtags-%23shayri,122,0.21,0.00,0.33,100,"100, 81, 81, 54, 67, 54, 44, 29, 23, 19, 19, 23",2026-08-11,"Video, People also ask, Related searches, AI overview",commercial,Organic
ishq quotes in hindi,2,2,880,6,0.00,https://eknazariya.com/ishq-shayari,114,0.2,0.00,0.33,141,"100, 100, 77, 68, 68, 68, 77, 77, 68, 55, 55, 45",2026-07-12,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
shayri writing,9,9,4400,38,0.00,https://eknazariya.com/,110,0.19,0.00,0.33,140,"3, 13, 55, 100, 82, 100, 100, 100, 100, 82, 0, 0",2026-06-26,"Sitelinks, Reviews, Video, Image, People also ask, Related searches, AI overview",informational,Organic
new shayri,9,9,4400,50,0.25,https://eknazariya.com/,110,0.19,27.00,0,127,"100, 100, 81, 100, 100, 100, 100, 81, 81, 67, 67, 54",2026-08-13,"Image pack, Reviews, Video, Image, Ads top, Ads bottom, Related searches",informational,Organic
newspaper shayari,10,10,12100,22,0.00,https://eknazariya.com/,108,0.19,0.00,0.33,127,"9, 30, 55, 45, 67, 100, 82, 55, 45, 0, 0, 0",2026-08-12,"Image pack, Reviews, Video, Image, People also ask, Related searches","informational, transactional",Organic
sher shayri,6,6,3600,23,0.72,https://eknazariya.com/,108,0.19,77.00,0.01,147,"81, 81, 81, 100, 81, 100, 81, 100, 100, 100, 100, 100",2026-08-15,"Image pack, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
gulzar shayari,16,16,33100,28,0.20,https://eknazariya.com/gulzar-shayari-1,99,0.17,19.00,0.33,146,"67, 67, 82, 67, 55, 55, 55, 82, 100, 55, 37, 16",2026-08-14,"Image pack, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
old shayari,5,5,1900,24,0.00,https://eknazariya.com/,95,0.16,0.00,0.33,87,"79, 100, 100, 67, 79, 100, 100, 67, 54, 54, 67, 54",2026-07-25,"Image pack, Reviews, Video, People also ask, Related searches",informational,Organic
ghalib shayari on life,3,3,1900,28,0.40,https://eknazariya.com/ghalib-shayari,95,0.16,38.00,0.33,145,"55, 55, 55, 55, 34, 45, 83, 100, 83, 83, 83, 83",2026-06-27,"Image pack, Reviews, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",informational,Organic
good shayari,4,4,1900,24,0.40,https://eknazariya.com/,95,0.16,38.00,0.33,69,"100, 100, 100, 100, 100, 100, 100, 84, 84, 84, 84, 84",2026-07-20,"Image pack, Reviews, People also ask, Related searches",informational,Organic
instagram shayari hashtags,2,2,720,17,0.00,https://eknazariya.com/hashtags-%23shayri,93,0.16,0.00,0.33,108,"59, 72, 72, 88, 88, 88, 100, 88, 88, 72, 17, 14",2026-06-21,"Video, Video Carousel, People also ask, Related searches",commercial,Organic
sad shayari hashtags,2,2,720,14,0.00,https://eknazariya.com/hashtags-%23shayri,93,0.16,0.00,0.33,109,"100, 100, 77, 77, 68, 55, 68, 45, 37, 37, 25, 25",2026-06-30,"Video, Related searches",commercial,Organic
gulzar 2 line shayari on love,2,2,1300,20,0.00,https://eknazariya.com/gulzar-shayari-1,91,0.16,0.00,0.33,139,"2, 9, 30, 11, 25, 55, 34, 34, 34, 55, 100, 100",2026-08-16,"Image pack, Reviews, Video, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
urdu shayari,17,16,60500,39,0.40,https://eknazariya.com/,90,0.16,36.00,0.33,143,"82, 100, 82, 82, 82, 100, 100, 82, 67, 67, 67, 67",2026-08-20,"Knowledge panel, Reviews, Video, Ads bottom, People also ask, Related searches, Short videos, AI overview",informational,Organic
short shayari,9,9,9900,30,0.33,https://eknazariya.com/,89,0.15,29.00,0,126,"55, 67, 55, 67, 67, 67, 67, 67, 100, 82, 100, 100",2026-08-20,"Image pack, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
2 line gulzar shayari,6,6,2900,22,0.00,https://eknazariya.com/gulzar-shayari-1,87,0.15,0.00,0.33,1820000,"100, 100, 100, 54, 35, 44, 54, 44, 35, 30, 30, 30",2026-07-29,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
cheesy hindi shayari,9,9,2900,32,0.00,https://eknazariya.com/,87,0.15,0.00,0.04,155,"2, 6, 24, 44, 44, 55, 67, 100, 82, 82, 0, 0",2026-06-26,"Reviews, Video, Related searches, AI overview",informational,Organic
hindi shayari text,5,5,1600,44,0.40,https://eknazariya.com/,80,0.14,32.00,0.04,91,"42, 67, 79, 79, 79, 79, 100, 79, 79, 30, 37, 20",2026-07-28,"Reviews, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",commercial,Organic
gulzar shayari love,3,3,1600,26,0.00,https://eknazariya.com/gulzar-shayari-1,80,0.14,0.00,0,83,"42, 67, 79, 79, 67, 79, 100, 67, 67, 42, 42, 37",2026-07-22,"Image pack, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
shayari ishq,2,2,880,13,0.00,https://eknazariya.com/ishq-shayari,79,0.14,0.00,0.33,127,"88, 100, 88, 88, 72, 88, 100, 88, 88, 72, 59, 59",2026-06-28,"Image pack, Reviews, Video, Related searches",informational,Organic
hindi shayari writing,6,6,2400,49,0.00,https://eknazariya.com/,72,0.12,0.00,0.33,62,"11, 16, 44, 67, 67, 81, 100, 100, 100, 81, 36, 53",2026-07-22,"Image pack, Reviews, Video, Image, Related searches",informational,Organic
best sad shayari,9,9,2400,10,0.40,https://eknazariya.com/best-sad-shayari,72,0.12,28.00,0.33,123,"100, 100, 100, 83, 83, 100, 100, 66, 55, 66, 66, 66",2026-07-21,"Sitelinks, Reviews, Video, Image, Related searches, AI overview",commercial,Organic
sher shayari hindi,7,7,5400,23,0.40,https://eknazariya.com/,70,0.12,28.00,0.33,145,"82, 82, 82, 100, 100, 100, 100, 100, 82, 82, 82, 67",2026-07-19,"Reviews, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
newspaper shayari in hindi,11,11,5400,20,0.00,https://eknazariya.com/,70,0.12,0.00,0.33,137,"3, 7, 30, 55, 67, 67, 100, 100, 82, 55, 0, 0",2026-06-26,"Reviews, Video, Related searches",informational,Organic
ishq shayari urdu,4,4,1300,11,0.00,https://eknazariya.com/ishq-shayari,65,0.11,0.00,0.33,133,"100, 100, 81, 81, 81, 81, 81, 62, 62, 62, 55, 55",2026-07-29,"Image pack, Sitelinks, Reviews, Video, Image, Video Carousel, Related searches",informational,Organic
ishq par shayari,2,2,720,8,0.00,https://eknazariya.com/ishq-shayari,64,0.11,0.00,0.33,132,"82, 82, 82, 82, 67, 82, 82, 100, 82, 67, 55, 67",2026-07-06,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
viral shayari in hindi,5,5,1600,25,0.00,https://eknazariya.com/,64,0.11,0.00,0.33,141,"4, 9, 28, 53, 53, 53, 81, 100, 67, 67, 6, 7",2026-06-29,"Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
shayari shayari,9,9,12100,45,0.00,https://eknazariya.com/,60,0.1,0.00,0.33,152,"82, 82, 82, 82, 82, 100, 82, 82, 82, 67, 67, 67",2026-08-17,"Image pack, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
gulzar shayari on love,9,9,12100,18,0.40,https://eknazariya.com/gulzar-shayari-1,60,0.1,24.00,0.33,141,"67, 82, 67, 82, 55, 55, 82, 100, 82, 67, 67, 67",2026-08-15,"Image pack, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
ghalib shayari on love,6,6,1900,21,0.24,https://eknazariya.com/ghalib-shayari,57,0.1,13.00,0.33,141,"100, 100, 79, 79, 100, 100, 100, 79, 79, 79, 42, 37",2026-08-10,"Image pack, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
ishqiya shayari,2,2,590,12,0.04,https://eknazariya.com/ishq-shayari,53,0.09,2.00,0,150,"100, 81, 100, 81, 100, 100, 100, 100, 81, 81, 81, 81",2026-07-26,"Image pack, Reviews, Video, Video Carousel, Related searches",informational,Organic
shayari lines,5,5,1300,34,0.40,https://eknazariya.com/,52,0.09,20.00,0.33,136,"81, 81, 81, 81, 81, 100, 100, 81, 81, 62, 62, 62",2026-08-12,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
ishq ki shayari,2,2,720,5,0.00,https://eknazariya.com/ishq-shayari,50,0.08,0.00,0.33,121,"88, 88, 88, 72, 72, 72, 88, 100, 72, 72, 59, 59",2026-06-30,"Image pack, Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
ishq shayari urdu in hindi,2,2,720,11,0.00,https://eknazariya.com/ishq-shayari,50,0.08,0.00,0.33,141,"25, 25, 25, 30, 37, 68, 77, 100, 100, 100, 77, 55",2026-06-24,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
gulzar sad shayari,4,4,1000,25,0.00,https://eknazariya.com/gulzar-shayari-1,50,0.08,0.00,0.33,142,"55, 68, 77, 100, 100, 77, 100, 100, 68, 77, 30, 30",2026-06-27,"Image pack, Sitelinks, Reviews, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",informational,Organic
shayari text,5,5,1000,33,0.40,https://eknazariya.com/,50,0.08,20.00,0.02,146,"100, 100, 100, 100, 100, 88, 100, 100, 100, 100, 100, 100",2026-06-30,"Reviews, Video, Related searches",commercial,Organic
poetry shayari,4,4,1000,48,0.00,https://eknazariya.com/,50,0.08,0.00,0,151,"100, 77, 77, 100, 100, 100, 77, 68, 68, 68, 68, 55",2026-06-28,"Knowledge panel, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
shariya,8,8,9900,43,0.26,https://eknazariya.com/,49,0.08,12.00,0,114,"36, 30, 36, 36, 36, 67, 82, 82, 100, 82, 82, 100",2026-08-16,"Knowledge panel, Image pack, Reviews, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
romantic shayari gulzar,8,8,1600,24,0.00,https://eknazariya.com/gulzar-shayari-1,48,0.08,0.00,0.33,144,"79, 79, 67, 42, 37, 67, 100, 67, 67, 100, 79, 67",2026-07-29,"Image pack, Reviews, Video, Related searches",informational,Organic
gulzar romantic shayari,7,7,1600,24,0.00,https://eknazariya.com/gulzar-shayari-1,48,0.08,0.00,0.33,147,"79, 79, 67, 42, 37, 67, 100, 67, 67, 100, 79, 67",2026-08-11,"Image pack, Reviews, Video, Image, Related searches, AI overview",informational,Organic
ghalib shayari in hindi,6,6,1600,28,0.40,https://eknazariya.com/ghalib-shayari,48,0.08,19.00,0.33,147,"100, 100, 100, 100, 100, 100, 100, 68, 68, 68, 53, 53",2026-08-15,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
gulzar sahab shayari,6,6,1600,28,0.40,https://eknazariya.com/gulzar-shayari-1,48,0.08,19.00,0.01,73,"34, 100, 66, 66, 66, 66, 66, 55, 55, 45, 20, 20",2026-07-23,"Image pack, Reviews, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
shero shayari in hindi,4,4,1600,26,0.40,https://eknazariya.com/,48,0.08,19.00,0.33,151,"100, 84, 84, 84, 84, 84, 84, 84, 68, 68, 68, 38",2026-08-11,"Reviews, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
best sayri,7,7,1600,30,0.08,https://eknazariya.com/,48,0.08,3.00,0,153,"84, 84, 84, 84, 100, 100, 84, 84, 84, 84, 68, 68",2026-07-29,"Reviews, Video, People also ask, Related searches, AI overview",commercial,Organic
sariya in hindi,8,8,1900,44,0.00,https://eknazariya.com/,47,0.08,0.00,0.33,153,"79, 79, 79, 67, 67, 79, 100, 79, 79, 79, 79, 79",2026-08-16,"Image pack, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
poetry shayari in hindi,4,4,880,26,0.00,https://eknazariya.com/,44,0.07,0.00,0.33,153,"45, 55, 77, 100, 68, 77, 100, 100, 77, 77, 37, 37",2026-06-29,"Image pack, Reviews, Video, Image, Ads top, Ads bottom, Video Carousel, Related searches",informational,Organic
gulzar poetry in hindi love,6,6,880,24,0.00,https://eknazariya.com/gulzar-shayari-1,44,0.07,0.00,0.33,32,"2, 7, 30, 62, 55, 55, 62, 62, 81, 55, 100, 81",2026-07-19,"Reviews, Video, Related searches",informational,Organic
ishq wali shayari,2,2,590,5,0.00,https://eknazariya.com/ishq-shayari,41,0.07,0.00,0.33,120,"82, 82, 82, 67, 67, 67, 82, 100, 82, 67, 67, 67",2026-07-06,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
best shayri hindi,4,4,590,38,0.09,https://eknazariya.com/,41,0.07,3.00,0.01,155,"100, 82, 55, 55, 67, 82, 67, 55, 67, 55, 55, 44",2026-06-26,"Reviews, Video, Related searches",commercial,Organic
shayari tags for instagram,3,3,590,12,0.00,https://eknazariya.com/hashtags-%23shayri,41,0.07,0.00,0,150,"67, 67, 67, 67, 67, 55, 67, 100, 100, 82, 67, 55",2026-08-17,"Video, People also ask, Related searches, AI overview",navigational,Organic
top shayari,9,9,1600,37,0.40,https://eknazariya.com/,40,0.07,16.00,0.33,27100,"84, 100, 84, 84, 84, 100, 100, 68, 84, 68, 68, 68",2026-07-29,"Image pack, Reviews, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
mirza ghalib love shayari,8,8,1600,21,0.00,https://eknazariya.com/ghalib-shayari,40,0.07,0.00,0,151,"44, 67, 81, 100, 81, 53, 24, 20, 24, 20, 20, 24",2026-08-12,"Image pack, Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
young shayari,7,7,1300,23,0.00,https://eknazariya.com/,39,0.06,0.00,0.33,140,"3, 9, 13, 13, 16, 24, 36, 28, 36, 67, 100, 81",2026-07-30,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
film shayari,10,10,4400,29,0.00,https://eknazariya.com/movie-shayari-1,39,0.06,0.00,0.33,127,"100, 30, 16, 11, 7, 9, 9, 9, 9, 7, 6, 6",2026-07-28,"Image pack, Reviews, Video, Related searches, AI overview",informational,Organic
shayari written,7,7,1300,37,0.00,https://eknazariya.com/,39,0.06,0.00,0,151,"100, 81, 16, 3, 67, 36, 24, 3, 11, 6, 7, 67",2026-06-27,"Image pack, Reviews, Video, Related searches",informational,Organic
good shayari in hindi,6,6,1300,30,0.40,https://eknazariya.com/,39,0.06,15.00,0.01,154,"84, 84, 84, 100, 84, 53, 53, 68, 53, 46, 46, 31",2026-07-24,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
popular shayari in hindi,5,5,1300,25,0.40,https://eknazariya.com/,39,0.06,15.00,0.33,145,"62, 55, 62, 62, 81, 81, 100, 100, 81, 81, 81, 81",2026-07-18,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
shayari on life gulzar,7,7,1300,16,0.00,https://eknazariya.com/gulzar-shayari-1,39,0.06,0.00,0.33,140,"81, 81, 100, 67, 36, 36, 24, 13, 9, 4, 2, 1",2026-08-01,"Image pack, Sitelinks, Reviews, Video, Image, Video Carousel, Related searches",informational,Organic
shayari quotes,9,9,2900,42,0.40,https://eknazariya.com/,37,0.06,14.00,0.33,141,"100, 100, 81, 81, 81, 81, 81, 81, 67, 53, 53, 53",2026-07-12,"Image pack, Reviews, People also ask, Related searches",informational,Organic
unique shayari,4,4,720,36,0.00,https://eknazariya.com/,36,0.06,0.00,0.33,144,"67, 82, 82, 82, 67, 67, 100, 82, 82, 82, 67, 67",2026-07-11,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
unique shayari in hindi,1,1,320,43,0.00,https://eknazariya.com/,35,0.06,0.00,0.33,155,"82, 100, 100, 100, 100, 100, 100, 82, 82, 82, 67, 67",2026-08-06,"Reviews, Video, Ads top, Ads bottom, People also ask, Related searches, AI overview",informational,AI overview
ishq pe shayari,2,2,260,11,0.00,https://eknazariya.com/ishq-shayari,33,0.05,0.00,0.33,138,"81, 81, 66, 81, 81, 100, 100, 66, 66, 66, 66, 53",2026-07-27,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
poetry quotes in hindi,9,9,1300,27,0.00,https://eknazariya.com/,32,0.05,0.00,0.33,146,"25, 31, 53, 68, 53, 68, 84, 84, 68, 68, 100, 100",2026-07-15,"Image pack, Reviews, People also ask, Related searches",informational,Organic
best sad shayari,10,10,2400,10,0.40,https://eknazariya.com/best-sad-shayari,31,0.05,12.00,0.33,123,"100, 100, 100, 83, 83, 100, 100, 66, 55, 66, 66, 66",2026-07-21,"Sitelinks, Reviews, Video, Image, Related searches, AI overview",commercial,Organic
ghalib ki shayari in hindi,7,7,1000,27,0.00,https://eknazariya.com/ghalib-shayari,30,0.05,0.00,0,140,"9, 9, 5, 7, 16, 54, 54, 67, 79, 100, 54, 25",2026-07-15,"Image pack, Reviews, Video, Image, People also ask, Related searches, AI overview",informational,Organic
shyari in hindi,7,7,1000,43,0.12,https://eknazariya.com/,30,0.05,3.00,0,153,"100, 100, 100, 100, 100, 100, 100, 100, 88, 100, 100, 100",2026-06-29,"Image pack, Reviews, Video, People also ask, Related searches",informational,Organic
latest shayari,8,8,1000,40,0.00,https://eknazariya.com/,30,0.05,0.00,0.04,114,"100, 77, 77, 77, 77, 68, 68, 77, 100, 68, 68, 68",2026-07-29,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
